,1
0,3.017448425
1,2.866836548
2,2.817222595
3,2.82118988
4,2.75844574
5,2.865776062
6,2.823928833
7,2.897888184
8,2.877204895
9,2.964057922
10,2.862365723
11,2.774108887
12,2.923141479
13,2.80770874
14,2.715209961
15,2.806564331
16,2.723449707
17,2.695274353
18,2.746627808
19,2.743606567
20,2.678855896
21,2.747650146
22,2.609428406
23,2.619087219
24,2.665237427
25,2.625961304
26,2.686431885
27,2.681671143
28,2.614624023
29,2.588287354
30,2.600593567
31,2.545036316
32,2.599319458
33,2.60974884
34,2.61328125
35,2.641700745
36,3.168518066
37,2.555625916
38,2.563575745
39,2.757217407
40,2.608528137
41,2.655303955
42,2.742012024
43,2.675994873
44,2.723579407
45,2.650230408
46,2.674736023
47,2.646682739
48,2.607154846
49,2.57258606
50,2.648208618
51,2.664360046
52,2.621078491
53,2.547332764
54,2.580360413
55,2.77191925
56,2.654891968
57,2.778686523
58,2.6900177
59,2.718299866
60,2.678077698
61,2.715644836
62,2.720100403
63,2.926048279
64,2.874504089
65,2.814323425
66,2.796386719
67,2.750709534
68,2.897239685
69,2.841575623
70,2.825119019
71,2.902351379
72,2.867080688
73,2.925605774
74,2.967948914
75,2.950912476
76,2.960624695
77,3.111869812
78,2.98841095
79,3.040794373
80,3.100624084
81,3.098556519
82,3.062591553
83,3.101371765
84,3.164558411
85,3.041404724
86,3.113685608
87,3.000167847
88,3.120780945
89,3.083435059
90,3.008926392
91,3.194732666
92,3.175872803
93,3.169509888
94,3.298324585
95,3.21836853
96,3.25604248
97,3.326759338
98,3.245056152
99,3.193412781
