,1
0,0.06458282471
1,0.1638736725
2,0.0008192062378
3,-0.1290836334
4,-0.1080703735
5,-0.07234668732
6,-0.1908941269
7,-0.07059669495
8,-0.1601724625
9,-0.2467460632
10,-0.1734142303
11,-0.1271734238
12,-0.3057975769
13,-0.325129509
14,-0.2136621475
15,-0.1743268967
16,-0.3031816483
17,-0.3145751953
18,-0.435344696
19,-0.5060749054
20,-0.3475055695
21,-0.1701107025
22,-0.2403993607
23,-0.2952842712
24,-0.3887500763
25,-0.3176040649
26,-0.3431844711
27,-0.3209438324
28,-0.2959260941
29,-0.5273981094
30,-0.5545625687
31,-0.5493526459
32,-0.5183706284
33,-0.4140787125
34,-0.4538145065
35,-0.3127555847
36,-0.4777469635
37,-0.5323143005
38,-0.5021209717
39,-0.5306520462
40,-0.5866918564
41,-0.6333608627
42,-0.5512533188
43,-0.5346288681
44,-0.5503349304
45,-0.4769935608
46,-0.4650602341
47,-0.5116786957
48,-0.5057878494
49,-0.3202857971
50,-0.3394203186
51,-0.5495443344
52,-0.5511751175
53,-0.5169229507
54,-0.4357671738
55,-0.4085817337
56,-0.1587495804
57,-0.2978210449
58,-0.3648386002
59,-0.2937831879
60,-0.3572006226
61,-0.4251699448
62,-0.543431282
63,-0.6136713028
64,-0.5045890808
65,-0.5783853531
66,-0.6913166046
67,-0.5004558563
68,-0.4792346954
69,-0.4838466644
70,-0.5461711884
71,-0.6608133316
72,-0.510641098
73,-0.4933738708
74,-0.6639280319
75,-0.6124448776
76,-0.4160547256
77,-0.5601234436
78,-0.57833004
79,-0.6901426315
80,-0.6021051407
81,-0.5955190659
82,-0.4694910049
83,-0.4921293259
84,-0.4476070404
85,-0.4048566818
86,-0.4125728607
87,-0.3998317719
88,-0.3972673416
89,-0.2446451187
90,-0.313788414
91,-0.4210653305
92,-0.618973732
93,-0.4925832748
94,-0.3464708328
95,-0.195763588
96,-0.2921857834
97,-0.1241760254
98,-0.1750764847
99,0.1044960022
