,1
0,-47.31651306
1,-47.71427917
2,-47.94419098
3,-47.83298492
4,-48.12806702
5,-47.86096191
6,-47.55873108
7,-47.71179199
8,-48.00424194
9,-47.48114014
10,-48.03270721
11,-47.7911911
12,-47.83516693
13,-47.5094986
14,-48.24385071
15,-47.48524475
16,-47.84675598
17,-47.88730621
18,-47.94007874
19,-47.7554245
20,-47.89089966
21,-47.64851379
22,-47.78844452
23,-48.0057373
24,-48.07266998
25,-47.94514465
26,-47.91387177
27,-47.87677765
28,-47.90258026
29,-47.73498535
30,-47.7660675
31,-47.98560333
32,-47.91742706
33,-48.06327057
34,-47.36039734
35,-47.71390533
36,-44.54134369
37,-47.68630981
38,-47.25674438
39,-47.50079346
40,-47.89386749
41,-47.73982239
42,-47.66496277
43,-47.78743744
44,-47.64820099
45,-47.74223328
46,-47.16082001
47,-47.65631866
48,-47.82367706
49,-47.69384766
50,-47.88254547
51,-47.75681305
52,-47.69152069
53,-47.78276825
54,-47.42321014
55,-47.18102264
56,-47.30081177
57,-46.46113586
58,-47.26128387
59,-47.21513367
60,-47.49447632
61,-47.41829681
62,-47.07791901
63,-46.18704987
64,-46.77918243
65,-47.1706543
66,-47.22135925
67,-47.31299591
68,-47.57189941
69,-47.10681915
70,-47.23962402
71,-46.78974152
72,-46.39141846
73,-46.95048523
74,-47.0687561
75,-47.06821442
76,-47.00715637
77,-46.75193024
78,-46.94781494
79,-46.95384216
80,-46.64586639
81,-47.21216583
82,-47.24278259
83,-46.90357971
84,-46.28209686
85,-46.97016144
86,-46.83398438
87,-46.87730408
88,-46.79845428
89,-46.93972015
90,-47.12084198
91,-47.08174896
92,-47.18405914
93,-47.03197479
94,-46.89955902
95,-47.05553436
96,-46.99206543
97,-47.06962585
98,-47.07741547
99,-47.32865906
