,1
0,47.41582591
1,47.79359923
2,48.019246
3,47.90924815
4,48.19826112
5,47.93781976
6,47.63814563
7,47.79563454
8,48.09269938
9,47.58150514
10,48.11775709
11,47.8682986
12,47.92809306
13,47.60010332
14,48.318938
15,47.57375562
16,47.91409727
17,47.96264389
18,48.02471306
19,47.83711094
20,47.97073222
21,47.73297204
22,47.86103108
23,48.07040623
24,48.14544079
25,48.0191357
26,47.99236128
27,47.9604512
28,47.96784925
29,47.81453753
30,47.83503584
31,48.05471533
32,47.98858918
33,48.12521152
34,47.44537118
35,47.79097216
36,44.67243799
37,47.76404332
38,47.33540195
39,47.58700451
40,47.96458172
41,47.81509436
42,47.74798224
43,47.85358956
44,47.72797464
45,47.81759741
46,47.24895546
47,47.73316804
48,47.8905069
49,47.75487048
50,47.96170873
51,47.83935696
52,47.77449451
53,47.85532466
54,47.49951939
55,47.26570231
56,47.3777022
57,46.55218191
58,47.34040277
59,47.29988763
60,47.57388062
61,47.49853045
62,47.15668502
63,46.29382425
64,46.8826852
65,47.26056121
66,47.29500885
67,47.39553346
68,47.65523164
69,47.19526765
70,47.32052355
71,46.89296414
72,46.48683574
73,47.05270622
74,47.15867845
75,47.16988162
76,47.10258135
77,46.85654581
78,47.04596267
79,47.04937973
80,46.75355835
81,47.32452163
82,47.34608923
83,47.01254986
84,46.40421049
85,47.0722928
86,46.93737919
87,46.96902278
88,46.8872433
89,47.03017851
90,47.21737521
91,47.19601519
92,47.29318841
93,47.14122384
94,47.02611905
95,47.16230146
96,47.10598298
97,47.17826675
98,47.18583245
99,47.43066873
