,1
0,2.599510193
1,2.478942871
2,2.506874084
3,2.441619873
4,2.427955627
5,2.418708801
6,2.419281006
7,2.448928833
8,2.471046448
9,2.480003357
10,2.46018219
11,2.487846375
12,2.510513306
13,2.410095215
14,2.383056641
15,2.367347717
16,2.304985046
17,2.243217468
18,2.382873535
19,2.32157135
20,2.332115173
21,2.328582764
22,2.191093445
23,2.254714966
24,2.292221069
25,2.297531128
26,2.2914505
27,2.300216675
28,2.259506226
29,2.290840149
30,2.164466858
31,2.146781921
32,2.219009399
33,2.163780212
34,2.216590881
35,2.230209351
36,2.235023499
37,2.206092834
38,2.190048218
39,2.243988037
40,2.230194092
41,2.290092468
42,2.328659058
43,2.279747009
44,2.331100464
45,2.296813965
46,2.249778748
47,2.297950745
48,2.207015991
49,2.182052612
50,2.298706055
51,2.290481567
52,2.250946045
53,2.193946838
54,2.210105896
55,2.274528503
56,2.211708069
57,2.204704285
58,2.209693909
59,2.262825012
60,2.241783142
61,2.322257996
62,2.358688354
63,2.338531494
64,2.335037231
65,2.38469696
66,2.347595215
67,2.388771057
68,2.450546265
69,2.450195312
70,2.393707275
71,2.515007019
72,2.476516724
73,2.532043457
74,2.557220459
75,2.580604553
76,2.58291626
77,2.640304565
78,2.581756592
79,2.636436462
80,2.702468872
81,2.668617249
82,2.683921814
83,2.606796265
84,2.678627014
85,2.574645996
86,2.604812622
87,2.609176636
88,2.573951721
89,2.514900208
90,2.623016357
91,2.686500549
92,2.717445374
93,2.774169922
94,2.778862
95,2.790740967
96,2.781814575
97,2.763938904
98,2.830528259
99,2.821853638
