,1
0,-0.6385602951
1,-0.4787254333
2,-0.6728839874
3,-0.8470954895
4,-0.6976232529
5,-0.7357244492
6,-0.7119398117
7,-0.7685909271
8,-0.9886703491
9,-1.098985672
10,-0.8177804947
11,-0.7792778015
12,-0.9492063522
13,-1.015201569
14,-0.9864501953
15,-0.9968080521
16,-0.862865448
17,-0.9639949799
18,-1.298799515
19,-1.148817062
20,-0.8893136978
21,-0.9267234802
22,-0.998550415
23,-0.9782762527
24,-1.142765045
25,-0.960436821
26,-0.9650506973
27,-0.9761667252
28,-0.9220323563
29,-1.118638992
30,-1.260989189
31,-1.218212128
32,-1.200605392
33,-1.095583916
34,-1.210468292
35,-1.080284119
36,-1.569026947
37,-1.07461071
38,-1.226770401
39,-1.318115234
40,-1.168606758
41,-1.142298698
42,-1.034990311
43,-1.142565727
44,-1.319292068
45,-1.230154991
46,-1.166351318
47,-1.213446617
48,-1.152432442
49,-1.117881775
50,-1.193791389
51,-1.197669029
52,-1.263474464
53,-1.090280533
54,-1.083525658
55,-1.217226028
56,-1.129689217
57,-1.085383415
58,-1.079222679
59,-1.17532444
60,-1.266215324
61,-1.083098412
62,-1.165661812
63,-1.427781105
64,-1.196448326
65,-1.32455349
66,-1.290247917
67,-1.100410461
68,-1.047404289
69,-1.156827927
70,-1.141554832
71,-1.249643326
72,-1.188233376
73,-1.146746635
74,-1.20606041
75,-1.291770935
76,-1.206401825
77,-1.215856552
78,-1.130653381
79,-1.294583321
80,-1.194476128
81,-1.189004898
82,-1.14569664
83,-1.244085312
84,-1.183562279
85,-1.204948425
86,-1.110606194
87,-1.123513222
88,-1.121968269
89,-0.9585390091
90,-1.000804901
91,-1.060144424
92,-1.257901192
93,-1.109853745
94,-1.022104263
95,-0.8949337006
96,-0.94759655
97,-0.7982664108
98,-0.8794612885
99,-0.7555475235
