,1
0,-48.51777649
1,-48.37367249
2,-48.67121887
3,-48.60195923
4,-48.79759979
5,-48.66012573
6,-48.44642639
7,-48.65628052
8,-48.70741272
9,-48.81774139
10,-48.66883087
11,-48.58650208
12,-48.60647583
13,-48.69982147
14,-48.82872009
15,-48.99226379
16,-48.65011597
17,-48.73700714
18,-48.7044754
19,-48.50231934
20,-48.55056763
21,-48.6137619
22,-48.71473694
23,-48.74063873
24,-48.78113556
25,-48.73122406
26,-48.64569092
27,-48.49890137
28,-48.47837067
29,-48.54990387
30,-48.53424072
31,-48.74411774
32,-48.61747742
33,-48.67745209
34,-48.64959717
35,-48.65531158
36,-48.95787048
37,-48.68601227
38,-48.55436707
39,-48.50589752
40,-48.64102936
41,-48.45056915
42,-48.47784424
43,-48.37168121
44,-48.40890503
45,-48.4960022
46,-48.46420288
47,-48.49917603
48,-48.59111023
49,-48.66906738
50,-48.75186157
51,-48.68054199
52,-48.57079315
53,-48.7075119
54,-48.48381042
55,-48.61450195
56,-48.5821228
57,-48.64632416
58,-48.54544067
59,-48.48374176
60,-48.4508667
61,-48.64240265
62,-48.84159851
63,-48.3505249
64,-48.52352905
65,-48.26748657
66,-48.22275543
67,-48.11356354
68,-48.14479065
69,-48.14347839
70,-48.02723694
71,-48.08042145
72,-47.90350342
73,-47.83597565
74,-47.86342621
75,-47.92513275
76,-47.85861969
77,-47.74360657
78,-48.01781464
79,-47.81073761
80,-47.99247742
81,-48.14576721
82,-47.84264374
83,-48.19586945
84,-48.37011719
85,-48.18733215
86,-48.33055878
87,-48.25172424
88,-48.11405945
89,-48.0641861
90,-48.1509552
91,-48.26571655
92,-48.28790283
93,-48.208992
94,-48.08083344
95,-48.06343079
96,-48.17358398
97,-48.19032288
98,-48.01431274
99,-48.28856659
